word,frequency
avances,1
definidos,2
normativi,1
dad,3
vigente,3
impartidos,1
administrativo,9
niveles,6
avance,7
sostenido,1
ahorros,1
adquisicion,1
suministros,4
ratificacion,1
certificacion,1
normas,6
iia,1
contractuales,1
fiscales,2
intervenidos,2
contratacion,2
adelantados,2
modalidades,4
regimen,1
especial,3
otras,5
causales,1
directa,2
promover,16
imple,1
mentacion,1
sensibilizacion,2
maximicen,1
utilizacion,5
fisicos,1
obtencion,3
necesarios,3
financiar,2
ejecutar,6
munici,2
pio,2
eficaz,4
eficazmente,1
cualificacion,4
aprovechamiento,3
espacio,6
equipamientos,4
impacto,6
vinculen,1
capital,4
privado,4
eje,5
cutar,1
ejecucion,8
obligacion,2
legal,1
cartera,2
estructurados,2
vinculacion,3
modelos,1
inmobiliarios,1
agencia,4
app,6
ley,9
ingreso,1
corriente,1
proyectado,1
billones,1
mediano,1
plazo,3
mfmp,2
pesos,3
cuatrienio,4
millones,2
gestionada,1
expedientes,1
tramitados,3
transito,1
expediente,1
movilidad,1
transporte,1
tramitado,1
transferencias,1
realizadas,8
fonpet,1
prefactibilidad,2
factibilidad,1
evaluados,1
esquema,1
proyecciones,3
fueron,1
relativamente,1
bajas,1
respecto,3
ejecutado,2
embargo,1
actuales,2
recaudar,1
alto,5
cuatrie,1
nio,1
pasado,1
pilar,2
prevenir,4
detectar,1
mitigar,1
juridicos,2
actuar,3
proteger,4
patrimonio,4
uniformes,1
tipo,3
preventivo,2
juridica,6
ejerciendo,1
prevencion,37
daño,4
antijuridico,4
representacion,2
judicial,3
extrajudicial,1
obedeciendo,1
coherencia,1
transferencia,2
univocidad,1
direc,1
trices,1
minimizacion,1
potenciales,3
mate,1
rializacion,1
judiciales,1
unificar,1
criterios,5
posiciones,1
juridicas,3
temas,6
asegurar,1
mantenimiento,4
actualizacion,4
difusion,2
oportuna,8
identificadas,4
estrategicas,3
evitar,1
estructurar,2
alternativas,5
solucion,4
conflictos,13
medios,23
presenten,1
favor,2
retroalimentar,1
especializada,2
operadores,1
dentro,2
directrices,1
capacitacion,3
implementadas,4
victimas,23
justicia,30
comprometidos,1
conjunto,3
afirmativas,2
promovidas,2
superar,3
violencia,12
temor,1
valores,3
fundamento,1
cultura,14
justa,1
pacifico,1
justo,1
incluyente,5
consolide,2
nucleo,1
dado,3
haber,1
resolucion,10
buscaremos,1
realidad,3
esfera,4
ins,1
titucional,1
cotidiana,2
continuaremos,2
construyendo,1
memoria,10
reparacion,12
simbolica,5
liderados,1
museo,5
casa,5
aporten,1
comprension,4
conflicto,17
armado,12
violencias,8
efectos,4
jado,1
guerra,2
especialmente,3
visibilizando,1
resistencias,1
emprendidas,1
aborden,1
cotidianidad,1
procurando,1
pacifica,6
convivencia,107
basada,2
respeto,5
diferencia,1
fortalece,3
remos,1
mejoraremos,1
sean,4
respetadas,1
atendidas,5
premura,1
garanticen,2
mesa,1
transicional,2
elaboracion,3
pat,1
apoyaremos,1
iniciati,1
vas,1
continuara,1
siendo,3
preservacion,1
circulacion,1
memorias,1
visibilizara,1
componentes,1
iniciativas,5
proyecto,2
busqueda,5
desaparecidas,2
acompa,2
ñaremos,1
amplificaremos,1
voces,1
puente,1
mantendremos,1
conpaz,1
claves,3
reconciliacion,4
dinamizar,1
sectores,5
pobla,1
ciones,2
tramitacion,1
multiples,2
promocion,28
educacion,4
sociedades,3
justas,1
seguras,4
teniendo,1
adolescentes,8
infractores,3
seguimiento,15
tratamiento,2
drogas,1
culminado,1
acceden,4
inclusion,20
medidas,7
asistencia,7
familia,19
postpenadas,3
logran,1
emprendimiento,3
ocupacional,1
contratadas,1
casos,6
gestionadas,2
fomentan,1
sociocultural,1
garantias,8
repeticion,6
buscan,2
aportar,4
pacificas,1
inclusivas,2
soste,1
nible,1
facilitar,4
eficaces,1
rindan,1
sana,2
cualquier,2
edad,2
contribucion,2
intrafamiliar,4
theta,1
formas,4
empezando,1
gestan,1
interior,3
reduzcan,1
instituciones,5
foque,1
restablecimiento,3
regulacion,3
sancion,2
comportamientos,5
contrarios,4
problematicas,8
familiares,3
promoviendo,3
contribuyan,3
miras,1
consiguiente,1
resalta,1
labor,2
casas,3
comisarias,4
inspecciones,2
policia,3
capacidad,5
reduccion,5
corregi,1
durias,1
codigo,1
nacional,6
efectuar,3
descentralizacion,2
formal,3
presentes,1
responsabilidad,1
penal,1
srpa,2
garanti,1
zando,1
familias,5
funcionando,2
centros,4
poblacion,26
diseñada,3
implementada,7
inspeccion,3
animal,1
niños,5
niñas,5
diferenciales,1
contenidas,2
permiten,2
ofrecer,1
diferenciadas,1
habitan,1
incidencia,12
interno,1
colombiano,1
dicha,2
goce,5
efectivamente,1
dere,1
chos,1
aportando,2
asentadas,2
repara,1
cion,12
vulnerados,2
ocasion,2
encuentren,1
fase,1
valoracion,3
autonomia,1
economica,6
ingresos,3
rehabilitacion,2
repeti,1
victima,1
individual,2
moral,1
competencia,2
ocurrencia,1
hechos,6
victimizantes,1
perspectivas,1
