full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" Los operativos e intervención deben ser constantes con la finalidad que el grupo de motociclistas desistan de visitar el puente de La Asomadera. Agradecimientos: Ciudadanía, Secretaría de Movilidad de Medellín.",Denunciascm,"Medellín, Antioquia, Colombia",2022-05-20 16:52:08,1527693669041680000,1,1,13
 POCO INTERÉS HAY EN SOLUCIONAR ESTA SITUACIÓN QUE AFECTA A LOS VECINOS DEL PUENTE LA ASOMADERA MEDELLÍN / MOVILIDAD Indignación total de parte de varios vecinos de la comuna 14 El Poblado con la Secretaría de Movilidad de Medellín que en la actualidad está dirigida por ⬇️,Denunciascm,"Medellín, Antioquia, Colombia",2022-05-20 16:51:41,1527693557447940000,0,0,13
" Estamos en el Showroom Piloto de movilidad, un espacio donde estamos conociendo los 5 emprendedores de Medellín que están trabajando por resolver problemáticas en temas de movilidad. 💡🦼🦽👏🏽 ¡Esta es una alianza con el @Areametropol que busca transformar la ciudad!",Ruta_N,Medellín - Colombia,2022-05-20 16:51:40,1527693551248760000,3,9,13
" Querido señor don alcalde @Juancamilorpog por favor evaluar dentro de sus prioridades la movilidad de Medellín, el actual PyP no funciona y se ideó a raíz de las restricciones postcovid por lo cual, si ya se levantaron todas las demás medidas, el PyP debería regresar al original.",JPuentesJ,,2022-05-20 16:33:47,1527689050177650000,0,0,13
" Ponte al día en tus obligaciones de movilidad en la sede preferida de tu banco Davivienda. 📍Dirígete a la sede más cercana👉 Descarga la liquidación en #MovilidadEnLínea, ingresando a 👉https://t.co/ni47AgbKIo",sttmed,"Medellín, Colombia",2022-05-20 15:30:00,1527673000111350000,0,5,13
" Señores Metro de Medellín exigimos un trato mas digno, por que no es un favor es un derecho y como cualquier usuario tenemos derecho a la movilidad.",Davisnanis,MEDELLIN- ANTIOQUIA,2022-05-20 14:55:22,1527664284263760000,0,0,13
" Cinco emprendimientos de Medellín trabajan por resolver problemáticas en temas de movilidad, a través del piloto de soluciones innovadoras para una movilidad más incluyente. Una apuesta entre @Ruta_N y @Areametropol que busca el bienestar de la ciudad y la transformación social.",ivancastanop,Colombia,2022-05-20 14:08:59,1527652608902630000,3,12,13
 Información importante para los conductores que se movilizan por la 80..tener en cuenta @sttmed @AlcaldiadeMed @Midefensabogado #movilidad #DenunciasAntioquia #medellin #noticias #SomosDenunciasAntioquia,DenunciasAntio2,"Medellín, Colombia",2022-05-20 14:00:06,1527650373976180000,1,4,13
" Con seis cambios viales, se mejorará la movilidad en el sector de San Diego, en Medellín. La señalización de 38 pasos peatonales y una nueva intersección semafórica hacen parte de esta intervención de movilidad.",vivirpoblado,Medellín - Colombia,2022-05-20 11:01:32,1527605438023460000,0,0,13
 #estamal los contratos amañándos movilidad Medellín se pierden 25 mil millones,luchononroy67,,2022-05-20 10:40:35,1527600163497330000,0,0,13
 Se presenta incidente de tránsito a la altura del retorno espumas Medellín. Movilidad reducida. #movilidad #DenunciasAntioquia #SomosDenunciasAntioquia,DenunciasAntio2,"Medellín, Colombia",2022-05-20 00:55:43,1527452977979610000,0,5,13
" Te invitamos al inicio de nuestra giras presenciales de movilidad sostenible y sostenibilidad 2022 🇨🇴, de la mano de @latamobility y @latamgreen Latam Mobility Colombia | Boletos 🎟: Net Zero Leadership Forum | Registro sin costo:",IILatam,Panamá,2022-05-20 00:14:12,1527442529674740000,1,3,13
" @Karlaarcila Ya que todo es caos... y si les disparan a los encapuchados? Roban una motocicleta, usa elementos para generar terror, se cubren la cara como delincuentes, destruyen elementos que son de todos en Medellín, afectan la libre movilidad de los ciudadanos, contaminan. Que más? Sobran",Esteban64363905,"Medellín, Colombia",2022-05-19 23:23:10,1527429686883770000,0,1,13
" Cuánto duele Medellín! Mientras queman una 🏍 de la policía, los encapuchados no permiten q la gente salga de sus trabajos, afectan la movilidad de 2 de los principales hospitales de la ciudad, etc La pelea y lo q saldrá para muchos es q hay unos viendo quien saca 1ro la lengua",claragiraldo,"Medellin, Colombia",2022-05-19 22:35:12,1527417615626420000,4,7,13
 ¡Pilas! Ya pasaron los seis meses de experimento y a partir del lunes empezarán a multar a los conductores que superen los 50 km en la avenida 80. Aquí los detalles 👇,elcolombiano,Medellín,2022-05-19 21:40:02,1527403733226770000,2,7,13
 🔴📹#Asífue I En #Medellín realizamos el I Ciclo de coloquios sobre la situación de personas venezolanas LGBT+ en proceso de movilidad humana en Colombia. Te invitamos a volver a ver el primer conservatorio realizado en alianza con @IPCoficial. 👇🏿,Caribeafirmativ,"Barranquilla, Atlántico",2022-05-19 20:31:49,1527386567152700000,4,6,13
