full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
 @FajardoMadera @tigrenene @petrogustavo @CIDH Yo voté por Daniel Quintero callé porque nos prometió que iba a congelar los servicios públicos y muchas cosas más hoy me arrepiento de haber votado por este oportunista que tiene vuelta mierda a Medellín qué decepción,Cristia91148765,,2022-05-11 11:15:10,1524347376089150000,0,0,3
" @QuinteroCalle Este pendejo,piensa que los pobres de Medellin,tienen carro como el y que los cambios de velocidad dan para la comida,la vivienda,los servicios públicos y necesidades. Esto es deshonroso, vil, cínico y criminal. Los pobres no tenemos carro y solo queremos comer no montar en carro",DRPEDROORTIZ,NEW YORK & Alaska,2022-05-11 06:33:55,1524276597024600000,0,1,3
" Me parece FANTÁSTICO! ese alcalde desde hace MESES viene haciendo campaña a FAVOR d @petrogustavo, no tan solo con sus declaraciones d Twitter sino q incluso ha MANIPULADO descaradamente los servicios públicos d Medellín al servicio d la campaña petrista. Me encanta esta noticia!",MagdSeRespeta,,2022-05-11 03:39:24,1524232681185290000,1,7,3
 @poIiacriIamide Del alza desmesurada de los servicios públicos en Medellín es que Quintero saca la plata para aportarle los mil millones de pesos que se gasta la campaña de Petro cada día.,juanrobot4,Colombia,2022-05-11 01:28:51,1524199826526720000,0,0,3
" Este fin de semana en la Universidad de Medellín, @UdeMedellin_ especialización de administrativo; los servicios públicos en el núcleo del derecho administrativo.",carlosateho,,2022-05-10 16:59:06,1524071544695430000,0,4,3
 📣Actualiza tus conocimientos en materia de #ServiciosPúblicos. Conoce como hacerlo en la #Especialización donde trabajamos para #transformamoslosserviciospúblicos ¡Inscripciones abiertas! 🤳https://t.co/qtxMzPynCE 👉https://t.co/fOI3r2M3HG @EnelColombia #Colombia #Medellin,DerEconomico,"Bogotá, D.C., Colombia",2022-05-10 14:16:20,1524030580039560000,1,2,3
" Denuncia. Los servicios públicos en Medellín, siguen subiendo y de manera preocupante. Yo pagaba el año pasado 170 y miren en lo que van. También hay un aporte ""voluntario"" que lo suman en el primer total.... En mi casa con 2 habitantes y uno permanece fuera en el día. 🤔",Raquelvelez2016,Colombia,2022-05-10 13:36:49,1524020638587020000,0,1,3
" Y de repente Medellín por obra y gracias de “el cambio” volvió a ser un pueblo. Inundaciones, suspensión de servicios públicos. Lo más seguro es que estos son los aguaceros más fuertes de la historia. Ese es el cambio en EPM. Ese es el cambio de pinturita",bebagenovevas,"Marinilla, Colombia",2022-05-09 23:11:16,1523802815960860000,0,1,3
" Está mañana en el Centro de Medellín estaban entregando material para reciclaje de la campaña de GP, le dije no señor que tal por Dios se me quema la mano. 🤣🤣🤣",mpaulina12,,2022-05-17 21:25:25,1526675280915570000,0,1,5
" #Medellín | Este 17 de mayo se conmemora el Día Mundial del Reciclaje, una fecha para tomar conciencia del manejo de residuos.",EnTertulia_,"Medellín, Colombia",2022-05-17 16:36:36,1526602594231150000,0,0,5
" #Medellín | Este 17 de mayo se conmemora el Día Mundial del Reciclaje, una fecha para tomar conciencia del manejo de residuos.",TotusTVDigital,"Medellín, Colombia",2022-05-17 16:36:04,1526602460667830000,0,0,5
" La dueña de Medellín!! ¿Que tal ésta enferma? Utilizando siempre a la comunidad LGBTIQ+ y otras comunidades con inclusión para hacer política. Así son ellos, los de izquierda, puro populismo de reciclaje.",martello_carmen,"Buenos Aires, Argentina",2022-05-13 15:30:59,1525136531064770000,0,1,5
" @pipear83 @andreanimalidad @petrogustavo Falsoo que alcalde saco de circulación a las llamadas zorreras, gente que usaba los caballos para cargar los carretas con reciclaje,que alcalde se atrevio a cerrar la santamaría fue petro , mientras fajardo como Alcalde de Medellín 🤔🤔🤔🤔",nelsiton12,Bogota,2022-05-12 15:30:19,1524773975896770000,1,27,5
" @flaorrego @arqfada @cynthiayanesc “Merecíamos embriagarnos de progreso, ahora necesitamos revisarnos” Medellín, urbanismo y sociedad. Ojalá no haga falta una etapa de crisis extrema para que retomemos el camino del diálogo social amplio y serio sobre nuestros retos. @lab_mde",PerezJaramilloA,Colombia,2022-05-18 02:21:45,1526749853526760000,2,1,8
" @QuinteroCalle Dizque Medellín, la joya latinoamericana del urbanismo social, pasando por semejante oso.",seb_gonzalez,Región de Maule - Chile,2022-05-16 23:41:45,1526347198891430000,0,0,8
" Yo voto por el que YA llevó el CAMBIO. El cambio es con: Educación Vivienda Empleo Salud Urbanismo Seguridad Equidad Dignidad Medellín y Antioquia ya lo vivieron, yo también lo quiero. #FajardoMurilloPresidente",jufito35,,2022-05-14 15:56:33,1525505354871850000,1,6,8
 Mucho se habla de Urbanismo social en #Medellín y es porque vivimos un renacimiento a través de inversión pública en infraestructura y vivienda digna para la población más pobre.¿Y quién lideró el Urbanismo social en Medellín?@sergio_fajardo #YoVotoFajardo,luisbernardov,"Medellín, Antioquia",2022-05-11 16:39:21,1524428959462610000,9,26,8
 Colores Arte y Urbanismo callejero Murales #Medellin,TeAmoValpo,Joya del Pacífico y Wanderers,2022-05-11 16:01:19,1524419389319220000,2,4,8
" Una investigación de la Universidad @EAFIT ayudó a configurar el consumo cultural en Medellín a través del análisis de las redes sociales. Tatuajes, grafiti, fotografía, urbanismo, arquitectura... se suman al mapa de tendencias artísticas en la ciudad.",La_network,Latinoamérica,2022-05-10 21:40:00,1524142233477270000,2,4,8
" #ACTUALIDAD || En 2020, Iván Duque lo integró en su gabinete como viceministro de Agricultura, en la dependencia de desarrollo rural.",diariocriterio,"Bogotá, D.C., Colombia",2022-05-16 02:40:00,1526029669895660000,6,5,9
" Nuestro #RectorUNIPAZ MSc. @oscaropa participó del acto de cierre en la Universidad Cooperativa de Colombia, sede Medellín de la iniciativa ""Pilas con el Futuro""y expuso lo más destacado del eje temático de “Desarrollo Rural” asignado a nuestra institución. #UnidosSomosMás",UNIPAZnoticias,"Barrancabermeja, Colombia",2022-05-12 16:39:10,1524791301325130000,1,3,9
" @FicoGutierrez La gente habla por hablar, mostrando su total desconocimiento en materia de bienestar animal y todo lo que hizo Fico por ellos cuando fue alcalde de Medellín. Si hay algo seguro, es del compromiso que este tiene con los animales.",LoMejorDeLos80s,,2022-05-18 00:01:08,1526714467261860000,0,0,10
 @ELTIEMPO Ojalá podamos navegar algún día en el Río Medellín. #MedioAmbiente @ParquesdelRio @AlcaldiadeMed #CambioClimático #MedellínFuturo #QuinteroSeQueda @Bogota #biodiversidad #LecturaRecomendada #FelizDomingo @EPMestamosahi #RedesSociales #TurismoNacional #SiguemeYTeSigo,gestormundial,Medellín-Colombia,2022-05-15 13:06:48,1525825024103440000,0,0,11
